JUP,BUY,LIMIT,IOC,34,1.2396021,1.2269000,FILLED,34,34,1737910118815,42.146471399999996
SOLV,SELL,LIMIT,IOC,7408,0.0570007,0.0575000,FILLED,7408,7408,1737910122751,422.26118560000003
SOLV,SELL,LIMIT,IOC,7408,0.0570007,0.0575000,FILLED,7408,7408,1737910122751,422.26118560000003
DF,BUY,LIMIT,IOC,56797,0.0896383,0.0888701,FILLED,833,56797,1737910174701,5091.1865251
DF,BUY,LIMIT,IOC,56797,0.0896383,0.0888701,FILLED,833,56797,1737910174701,5091.1865251
PENGU,BUY,LIMIT,IOC,299696,0.0264252,0.0261847,FILLED,5269,299696,1737910175557,7919.5267392
PENGU,BUY,LIMIT,IOC,299696,0.0264252,0.0261847,FILLED,5269,299696,1737910175557,7919.5267392
SPELL,BUY,LIMIT,IOC,81692,0.0013101,0.0012896,FILLED,17887,81692,1737910191638,107.0246892
SPELL,BUY,LIMIT,IOC,81692,0.0013101,0.0012896,FILLED,17887,81692,1737910191638,107.0246892
SKL,BUY,LIMIT,IOC,34872,0.05354,0.05314,FILLED,1901,34872,1737910195507,1867.0468799999999
SKL,BUY,LIMIT,IOC,34872,0.05354,0.05314,FILLED,1901,34872,1737910195507,1867.0468799999999
SKL,BUY,LIMIT,IOC,12601,0.05362,0.05322,FILLED,4146,12601,1737910207436,675.66562
SKL,BUY,LIMIT,IOC,12601,0.05362,0.05322,FILLED,4146,12601,1737910207436,675.66562
PENGU,BUY,LIMIT,IOC,33088,0.0264380,0.0261790,FILLED,8336,33088,1737910208443,874.780544
PENGU,BUY,LIMIT,IOC,33088,0.0264380,0.0261790,FILLED,8336,33088,1737910208443,874.780544
PENGU,BUY,LIMIT,IOC,15604,0.0264423,0.0261960,FILLED,610,15604,1737910212448,412.60564919999996
PENGU,BUY,LIMIT,IOC,15604,0.0264423,0.0261960,FILLED,610,15604,1737910212448,412.60564919999996
ETH,BUY,LIMIT,IOC,0.241,3329.70,3316.80,FILLED,0.241,0.241,1737910212449,802.4576999999999
ETH,BUY,LIMIT,IOC,0.241,3329.70,3316.80,FILLED,0.241,0.241,1737910212449,802.4576999999999
ACT,BUY,LIMIT,IOC,4858,0.2096515,0.2079000,FILLED,1,4858,1737910215197,1018.486987
ACT,BUY,LIMIT,IOC,4858,0.2096515,0.2079000,FILLED,1,4858,1737910215197,1018.486987
PNUT,BUY,LIMIT,IOC,1069,0.3184333,0.3153500,FILLED,1069,1069,1737910234173,340.4051977
PNUT,BUY,LIMIT,IOC,1069,0.3184333,0.3153500,FILLED,1069,1069,1737910234173,340.4051977
SPELL,BUY,LIMIT,IOC,107763,0.0013122,0.0012933,FILLED,98850,107763,1737910246245,141.4066086
SPELL,BUY,LIMIT,IOC,107763,0.0013122,0.0012933,FILLED,98850,107763,1737910246245,141.4066086
ACT,BUY,LIMIT,IOC,209,0.2104451,0.2084000,FILLED,209,209,1737910251667,43.9830259
ACT,BUY,LIMIT,IOC,209,0.2104451,0.2084000,FILLED,209,209,1737910251667,43.9830259
